DT_MEDICAO,HR_MEDICAO,TEM_INS,UMD_INS,RAD_GLO
2022-07-09,0,24.149998250937536,96.99999647162053,-1.8999999894154582
2022-07-09,100,23.950004475490154,96.99999724014012,-1.8999999898661255
2022-07-09,200,23.85000565148134,96.99999910272442,-1.900000005084073
2022-07-09,300,23.750006987246316,96.99999989466622,-1.9000000084128987
2022-07-09,400,23.550008804945072,97.4999999350627,-2.200000004759743
2022-07-09,500,23.500010180956743,97.99999958529648,-2.2000000079716715
2022-07-09,600,23.450011316014788,97.99999967075343,-2.100000015988315
2022-07-09,700,23.900001488984174,97.99999872083922,40.99999999943216
2022-07-09,800,25.299999127780936,91.99999957910676,399.40000001839337
2022-07-09,900,27.400005419617102,82.9999992291799,1138.7500000019195
2022-07-09,1000,29.000014833462632,76.00000071203286,1724.7999999713973
2022-07-09,1100,30.00002261581864,71.99999977606957,2122.8999999557946
2022-07-09,1200,30.49999840784937,70.00000091898897,2365.399999961766
2022-07-09,1300,31.100007791968824,67.99999758305952,2685.4999999890674
2022-07-09,1400,30.899978669230407,67.0000005679282,1946.1000000379413
2022-07-09,1500,30.499995824804138,70.00000192403365,1757.800000017208
2022-07-09,1600,28.29999623015028,79.00000478481986,1211.7999999530316
2022-07-09,1700,26.599996770715848,84.00000355839484,355.29999996732704
2022-07-09,1800,25.599996885677317,89.00000157888817,100.70000008820651
2022-07-09,1900,25.000000045616737,94.00000064676708,5.300000122710812
2022-07-09,2000,24.55001129503522,94.99999830566395,-1.6999999757125002
2022-07-09,2100,24.400005157765,94.49999836960258,-1.0999999504621067
2022-07-09,2200,24.40000196989549,95.999998172912,-1.650000012348487
2022-07-09,2300,24.400000509813946,96.49999800771239,-1.8999999886040218
