DATA,HORARIO,ATUAL_TEMPERATURA,PREVISOES_TEMPERATURA,ATUAL_UMIDADE,PREVISOES_UMIDADE,ATUAL_RADIACAO,PREVISOES_RADIACAO
2022-06-08,1700.0,26.4,26.726850026041795,69.0,74.91335447345668,158.4,96.10586795036875
2022-06-08,1800.0,25.6,25.546018210792543,88.0,85.45656471597275,38.0,-59.416141704266465
2022-06-08,1900.0,25.6,25.018755776823426,89.0,88.41365968292361,2.6,-126.51839492503223
2022-06-08,2000.0,25.1,24.742902503094115,91.0,89.01652015442983,-2.5,-190.75203245284638
2022-06-08,2100.0,24.8,24.503526699386917,93.0,90.9192762476273,-3.0,-149.359504363611
2022-06-09,2200.0,24.7,24.151753390040447,94.0,92.79344542525533,-1.8,-77.61977296582745
2022-06-09,2300.0,24.6,24.13082689202203,96.0,93.10733364957977,-1.9,-61.908584853423235
2022-06-09,0.0,24.6,23.955626539364054,96.0,93.71382219661953,-1.9,-90.17223034444987
2022-06-09,100.0,24.4,24.32175233064325,97.0,93.45325899040671,-2.2,0.8642554067353103
2022-06-09,200.0,24.2,24.450489429798616,95.0,93.93793899089806,-3.5,59.65011123978252
2022-06-09,300.0,23.7,23.909937147531416,94.0,95.27383192621798,-3.0,-52.164328555269094
2022-06-09,400.0,23.6,23.773747644462183,97.0,96.80444274710464,-2.1,-16.40668640017975
2022-06-09,500.0,23.6,23.75400212116458,97.0,97.14899278826033,-2.1,-8.738600439774473
2022-06-09,600.0,23.6,23.764300253688987,97.0,97.20300653230058,-2.0,-8.555570280359234
2022-06-09,700.0,24.3,23.76967442854255,97.0,97.22852218089065,41.3,-9.76568850309036
2022-06-09,800.0,26.0,25.495607893707636,97.0,93.27670525918751,430.8,350.91830467404316
2022-06-09,900.0,29.3,27.703494544890734,88.0,85.95132864303339,1294.6,914.8788111424044
2022-06-09,1000.0,30.3,29.76940812310018,78.0,74.63927034381717,2021.0,1514.8608851158958
2022-06-09,1100.0,30.3,30.436002770908047,72.0,70.84386147919288,1895.1,1992.1126007589673
2022-06-09,1200.0,31.1,30.544127544633714,70.0,70.49665888315762,2693.8,1900.5023073488608
2022-06-09,1300.0,30.2,30.31770168553963,69.0,68.33527081137268,2845.6,2219.899261358846
2022-06-09,1400.0,30.3,30.658391124776703,72.0,69.78268475535228,1481.9,2497.31344262222
2022-06-09,1500.0,29.3,28.017980377811377,68.0,73.14867890494932,1091.3,872.5197984460144
2022-06-09,1600.0,30.7,29.218375516142157,83.0,74.46677764557478,1748.5,1054.1332858420024
