HORARIO,PREVISOES_TEMPERATURA,PREVISOES_UMIDADE,PREVISOES_RADIACAO
1700.0,26.726850026041795,74.91335447345668,96.10586795036875
1800.0,25.546018210792543,85.45656471597275,-59.416141704266465
1900.0,25.018755776823426,88.41365968292361,-126.51839492503223
2000.0,24.742902503094115,89.01652015442983,-190.75203245284638
2100.0,24.503526699386917,90.9192762476273,-149.359504363611
2200.0,24.151753390040447,92.79344542525533,-77.61977296582745
2300.0,24.13082689202203,93.10733364957977,-61.908584853423235
0.0,23.955626539364054,93.71382219661953,-90.17223034444987
100.0,24.32175233064325,93.45325899040671,0.8642554067353103
200.0,24.450489429798616,93.93793899089806,59.65011123978252
300.0,23.909937147531416,95.27383192621798,-52.164328555269094
400.0,23.773747644462183,96.80444274710464,-16.40668640017975
500.0,23.75400212116458,97.14899278826033,-8.738600439774473
600.0,23.764300253688987,97.20300653230058,-8.555570280359234
700.0,23.76967442854255,97.22852218089065,-9.76568850309036
800.0,25.495607893707636,93.27670525918751,350.91830467404316
900.0,27.703494544890734,85.95132864303339,914.8788111424044
1000.0,29.76940812310018,74.63927034381717,1514.8608851158958
1100.0,30.436002770908047,70.84386147919288,1992.1126007589673
1200.0,30.544127544633714,70.49665888315762,1900.5023073488608
1300.0,30.31770168553963,68.33527081137268,2219.899261358846
1400.0,30.658391124776703,69.78268475535228,2497.31344262222
1500.0,28.017980377811377,73.14867890494932,872.5197984460144
1600.0,29.218375516142157,74.46677764557478,1054.1332858420024
